1	未然	みぜん	trước khi xảy ra	事故を未然に防ぐことが重要だ。
1	未遂	みすい	bất thành	犯行は未遂に終わった。
1	未曽有	みぞう	chưa từng có	未曽有の危機に直面している。
1	未踏	みとう	chưa ai đặt chân tới	未踏の分野に挑戦する。
1	未開	みかい	chưa khai phá	未開の地を探検する。
1	未熟	みじゅく	non nớt	彼の考え方はまだ未熟だ。
1	未練	みれん	lưu luyến	過去に未練を残している。
1	未知	みち	chưa biết	未知の世界に魅力を感じる。
1	未定	みてい	chưa quyết định	日程はまだ未定だ。
1	未納	みのう	chưa nộp	税金が未納のままだ。
2	不備	ふび	thiếu sót, không đầy đủ	書類に不備があったため、受理されなかった。
2	不当	ふとう	không chính đáng	不当な解雇として訴えられた。
2	不朽	ふきゅう	bất hủ	これは不朽の名作とされている。
2	不審	ふしん	đáng ngờ, khả nghi	不審な人物が目撃された。
2	不透明	ふとうめい	không rõ ràng	今後の見通しは不透明だ。
2	不慣れ	ふなれ	chưa quen	新しい環境にまだ不慣れだ。
2	不服	ふふく	không đồng ý, bất phục	判決を不服として控訴した。
2	不備	ふび	thiếu sót	契約書に不備が見つかった。
2	不在	ふざい	vắng mặt	担当者が不在だった。
2	不況	ふきょう	suy thoái kinh tế	不況の影響で売上が減少した。
3	無謀	むぼう	liều lĩnh	それは無謀な挑戦だ。
3	無頓着	むとんちゃく	không để tâm	彼は服装に無頓着だ。
3	無念	むねん	đáng tiếc, nuối tiếc	無念の思いが残った。
3	無差別	むさべつ	không phân biệt	無差別攻撃が発生した。
3	無為	むい	vô ích, không làm gì	無為に時間を過ごしてしまった。
3	無償	むしょう	miễn phí	サービスを無償で提供する。
3	無断	むだん	không xin phép	無断転載は禁止されている。
3	無効	むこう	vô hiệu	その契約は無効となった。
3	無縁	むえん	không liên quan	私には無縁の世界だ。
3	無論	むろん	đương nhiên	無論、その案に賛成だ。
4	非難	ひなん	chỉ trích	政府は厳しい非難を受けた。
4	非凡	ひぼん	phi thường	彼は非凡な才能を持っている。
4	非情	ひじょう	lạnh lùng, vô tình	非情な判断を下した。
4	非営利	ひえいり	phi lợi nhuận	非営利団体で働いている。
4	非対称	ひたいしょう	bất đối xứng	情報が非対称である。
4	非公開	ひこうかい	không công khai	会議は非公開で行われた。
4	非現実的	ひげんじつてき	phi thực tế	その計画は非現実的だ。
4	非合法	ひごうほう	phi pháp	非合法な取引が行われていた。
4	非常識	ひじょうしき	thiếu thường thức	彼の発言は非常識だ。
4	非正規	ひせいき	không chính thức, phi chính quy	非正規雇用が増加している。
5	新興	しんこう	mới nổi	新興企業が急成長している。
5	新設	しんせつ	mới thành lập	新しい部署が新設された。
5	新鋭	しんえい	ngôi sao mới nổi	新鋭の作家として注目されている。
5	新興国	しんこうこく	quốc gia mới nổi	新興国市場が拡大している。
5	新規	しんき	mới, mới đăng ký	新規顧客を獲得する。
6	旧態依然	きゅうたいいぜん	vẫn như cũ	組織は旧態依然としている。
6	旧姓	きゅうせい	họ trước khi kết hôn	旧姓を使用する。
6	旧知	きゅうち	quen biết từ lâu	彼とは旧知の仲だ。
6	旧来	きゅうらい	từ trước tới nay	旧来の方法を見直す。
6	旧式	きゅうしき	kiểu cũ	旧式の設備を更新した。
7	元凶	げんきょう	nguyên nhân chính, thủ phạm chính	それが問題の元凶だ。
7	元首	げんしゅ	nguyên thủ quốc gia	各国の元首が集まった。
7	元年	がんねん	năm đầu tiên của niên hiệu	令和元年に制定された。
7	元来	がんらい	vốn dĩ	元来、彼は慎重な性格だ。
7	元通り	もとどおり	trở lại như cũ	生活が元通りになった。
8	前提	ぜんてい	tiền đề	その議論は前提が間違っている。
8	前例	ぜんれい	tiền lệ	前例のない挑戦だ。
8	前途	ぜんと	tương lai phía trước	前途有望な若者だ。
8	前衛	ぜんえい	tiên phong	前衛芸術として評価される。
8	前兆	ぜんちょう	điềm báo	異変は地震の前兆だった。
9	現状	げんじょう	hiện trạng	まず現状を把握する必要がある。
9	現行	げんこう	hiện hành	現行制度を見直す。
9	現実味	げんじつみ	tính thực tế	計画が現実味を帯びてきた。
9	現地	げんち	địa phương tại chỗ	現地調査を行った。
9	現役	げんえき	đang hoạt động, đương nhiệm	彼は今も現役で活躍している。
10	再燃	さいねん	bùng phát trở lại	その問題が再燃している。
10	再編	さいへん	tái cơ cấu	業界再編が進んでいる。
10	再建	さいけん	tái thiết, phục hồi	経営再建を目指す。
10	再生	さいせい	phục hồi, tái sinh	地域の再生が課題だ。
10	再発	さいはつ	tái phát	病気が再発した。
11	改革	かいかく	cải cách	行政改革が進められている。
11	改正	かいせい	sửa đổi luật, quy định	法律が改正された。
11	改訂	かいてい	chỉnh sửa nội dung	教科書が改訂された。
11	改善	かいぜん	cải thiện	労働環境を改善する。
11	改修	かいしゅう	tu sửa, cải tạo	建物の改修工事が行われる。
12	転換	てんかん	chuyển đổi	発想の転換が必要だ。
12	転落	てんらく	rơi xuống, sa sút	彼は転落人生を送った。
12	転機	てんき	bước ngoặt	それが人生の転機となった。
